seed_company,related_company,final_label,final_confidence,agreement_count,num_models,final_status,needs_human_review,evidence_urls,summary
Minerva Neurosciences,Mind-NRG Sarl,Acquisition,1.0,3,3,accepted_by_consensus,False,https://www.sec.gov/Archives/edgar/data/1598646/000119312524240736/d843316dars.pdf | https://www.sec.gov/Archives/edgar/data/0001598646/000119312522307381/d438557d8k.htm | https://ir.minervaneurosciences.com/static-files/ee9b4b59-bce8-4adc-bc49-9a886c5b6e50 | https://www.sec.gov/Archives/edgar/data/1598646/000159864624000011/nerv-20231231.htm | https://ir.minervaneurosciences.com/node/8371/html | https://www.vischer.com/en/knowledge/blog/acquisition-of-mind-nrg-by-minerva-neurosciences-1510/ | https://www.vischer.com/en/knowledge/deals-cases/acquisition-of-mind-nrg-by-minerva-neurosciences-32377/ | https://www.sec.gov/Archives/edgar/data/1598646/000156459022007853/nerv-ex211_9.htm | https://ir.minervaneurosciences.com/static-files/ad224341-0989-4cf3-a267-8a1db9b87fe9,"SEC filings and recent company-related filings state that Minerva Neurosciences acquired Mind-NRG Sarl in February 2014, and more recent filings describe Mind-NRG SARL as a wholly owned subsidiary of Minerva Neurosciences."
Minerva Neurosciences,Minerva Neurosciences Securities Corporation,Subsidiary,1.0,3,3,accepted_by_consensus,False,https://www.sec.gov/Archives/edgar/data/1598646/000119312525265685/nerv-20250930.htm | https://ir.minervaneurosciences.com/static-files/34f296ef-592a-4468-86fa-4e24feec649f | https://www.sec.gov/Archives/edgar/data/1598646/000119312515087115/d884111dex211.htm | https://ir.minervaneurosciences.com/node/8106/html | https://www.sec.gov/Archives/edgar/data/1598646/000156459022007853/nerv-ex211_9.htm | https://ir.minervaneurosciences.com/static-files/ad224341-0989-4cf3-a267-8a1db9b87fe9,"Recent SEC filings by Minerva Neurosciences, Inc. state that its consolidated financial statements include its wholly-owned subsidiaries, specifically naming Minerva Neurosciences Securities Corporation. Older annual report exhibits also list Minerva Neurosciences Securities Corporation as a subsidiary of Minerva Neurosciences, Inc."
Minerva Neurosciences,Mind-NRG SA,Subsidiary,0.97,2,3,resolved_by_resolution_agent,False,https://www.sec.gov/Archives/edgar/data/1598646/000119312526101117/nerv-20251231.htm,"Official SEC filings from Minerva Neurosciences state that it acquired Mind-NRG Sarl in February 2014 and that Mind-NRG Sarl is included among Minerva's wholly-owned subsidiaries in the 2025 Form 10-K. Because the current corporate relationship is requested, the best resolution is Subsidiary rather than Acquisition."
Minerva Neurosciences,"Cyrenaic Pharmaceuticals, Inc.",None/Unclear,0.94,2,3,needs_human_review,True,https://www.sec.gov/Archives/edgar/data/1598646/000119312515183176/d913229d424b4.htm | https://www.sec.gov/Archives/edgar/data/1598646/000104746914003612/a2219290zs-1.htm,"Official SEC filings show Minerva Neurosciences was originally incorporated as Cyrenaic Pharmaceuticals, Inc. in 2007 and later renamed Minerva Neurosciences, Inc. after Cyrenaic merged with Sonkei Pharmaceuticals in November 2013. That means Cyrenaic is the former name/legal predecessor of Minerva, not a separate company acquired by or merged with Minerva as a distinct counterparty."
Pfizer,Seagen,Acquisition,1.0,3,3,accepted_by_consensus,False,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-invests-43-billion-battle-cancer | https://www.pfizer.com/news/press-release/press-release-detail/pfizer-completes-acquisition-seagen | https://www.pfizer.com/seagen | https://www.sec.gov/Archives/edgar/data/1060749/000119312523101188/d464303dprem14a.htm,"Pfizer announced in March 2023 that it would acquire Seagen, and Pfizer later announced it completed the acquisition in December 2023. Official Pfizer pages explicitly describe the transaction as an acquisition of Seagen by Pfizer."
Pfizer,Global Blood Therapeutics,Acquisition,1.0,3,3,accepted_by_consensus,False,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-acquire-global-blood-therapeutics-54-billion-enhance | https://www.pfizer.com/news/press-release/press-release-detail/pfizer-completes-acquisition-global-blood-therapeutics | https://www.sec.gov/Archives/edgar/data/1629137/000119312522214440/d389088d8k.htm,"Pfizer announced in August 2022 that it would acquire Global Blood Therapeutics, and later announced it had completed the acquisition in October 2022. This is clear acquisition evidence from Pfizer's official press releases."
Pfizer,Hospira,Acquisition,1.0,3,3,accepted_by_consensus,False,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-acquire-hospira | https://www.pfizer.com/sites/default/files/investors/Pfizer%20Hospira%20Final%20Release%209-3-2016.pdf | https://www.ftc.gov/legal-library/browse/cases-proceedings/151-0074-pfizer-inchospira-inc-matter | https://www.pfizer.com/news/press-release/press-release-detail/pfizer_completes_acquisition_of_hospira | https://www.sec.gov/Archives/edgar/data/78003/000007800315000045/pfe-20150903x8k.htm | https://www.pfizer.com/news/press-release/press-release-detail/pfizer-completes-acquisition-hospira,"Pfizer officially announced in 2015 that it would acquire Hospira, and Pfizer later stated that it completed the acquisition. Regulatory materials from the FTC also describe the transaction as Pfizer's acquisition of Hospira."
Pfizer,Wyeth,Acquisition,1.0,3,3,accepted_by_consensus,False,https://www.pfizer.com/news/press-release/press-release-detail/pfizer_to_acquire_wyeth_creating_the_world_s_premier_biopharmaceutical_company | https://www.pfizer.com/news/press-release/press-release-detail/pfizer_and_wyeth_become_one_working_together_for_a_healthier_world | https://www.ftc.gov/node/43715 | https://www.pfizer.com/news/press-release/press-release-detail/pfizer_completes_acquisition_of_wyeth | https://www.sec.gov/Archives/edgar/data/78003/000119312510039345/d10k.htm,"Pfizer officially announced in January 2009 that it would acquire Wyeth, and later announced that Pfizer and Wyeth had become one company upon completion of the transaction. FTC materials also describe the deal as Pfizer's acquisition of Wyeth."
Pfizer,"Metsera, Inc.",Acquisition,1.0,3,3,accepted_by_consensus,False,https://www.sec.gov/Archives/edgar/data/2040807/000119312525210030/d921605dex991.htm | https://s206.q4cdn.com/795948973/files/doc_financials/2025/q4/2025-Form-10-K.pdf | https://www.ftc.gov/legal-library/browse/early-termination-notices/20260047 | https://www.pfizer.com/news/press-release/press-release-detail/pfizer-completes-acquisition-metsera | https://www.apnews.com/article/pfizer-metsera-obesity-drug-acquisition-novo-nordisk-bidding-war-08-11-2025 | https://www.fiercebiotech.com/biotech/pfizer-finalizes-metsera-buy-after-contentious-bidding-war-novo-nordisk | https://www.pfizer.com/news/press-release/press-release-detail/pfizer-acquire-metsera-and-its-next-generation-obesity,"Official SEC-filed press release states Pfizer and Metsera entered into a definitive agreement on September 22, 2025 under which Pfizer would acquire Metsera. Pfizer’s 2025 Form 10-K then states Pfizer acquired Metsera on November 13, 2025. FTC HSR records also list Pfizer as acquiring party and Metsera as acquired party."
Pfizer,Biohaven Pharmaceutical Holding Company Ltd.,Acquisition,1.0,3,3,accepted_by_consensus,False,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-acquire-biohaven-pharmaceuticals | https://www.pfizer.com/news/press-release/press-release-detail/pfizer-completes-acquisition-biohaven-pharmaceuticals | https://www.sec.gov/Archives/edgar/data/78003/000119312522145661/d336582d8k.htm | https://www.sec.gov/Archives/edgar/data/78003/000007800324000039/pfe-20231231.htm | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683560/000110465922105245/tm2227282d1_8k.htm,Official Pfizer press releases state that Pfizer announced and then completed the acquisition of Biohaven Pharmaceuticals in October 2022. SEC filings further document an Agreement and Plan of Merger under which Pfizer acquired all outstanding common shares of Biohaven Pharmaceutical Holding Company Ltd. not already owned by Pfizer.
Pfizer,"Global Blood Therapeutics, Inc. (GBT)",Acquisition,1.0,3,3,accepted_by_consensus,False,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-acquire-global-blood-therapeutics-54-billion-enhance | https://www.pfizer.com/news/press-release/press-release-detail/pfizer-completes-acquisition-global-blood-therapeutics | https://www.sec.gov/Archives/edgar/data/1629137/000119312522232534/d386445ddefm14a.htm,Official Pfizer press releases state that Pfizer announced an agreement to acquire Global Blood Therapeutics for $5.4 billion in August 2022 and later completed the acquisition in October 2022.
Pfizer,Arena Pharmaceuticals,Acquisition,1.0,3,3,accepted_by_consensus,False,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-acquire-arena-pharmaceuticals | https://www.sec.gov/Archives/edgar/data/1080709/000114036121041296/brhc10031793_ex99-1.htm | https://www.sec.gov/Archives/edgar/data/78003/000007800322000045/sch13dlongboardv1.htm | https://www.pfizer.com/news/press-release/press-release-detail/pfizer-completes-acquisition-arena-pharmaceuticals | https://www.sec.gov/Archives/edgar/data/1067465/000110465921149024/tm2135381d1_8k.htm,"Pfizer announced in December 2021 that it would acquire Arena Pharmaceuticals for approximately $6.7 billion, and SEC filing evidence states the transaction was completed on March 11, 2022, when Pfizer acquired all outstanding Arena shares."
Pfizer,Biohaven,Acquisition,1.0,3,3,accepted_by_consensus,False,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-acquire-biohaven-pharmaceuticals | https://www.pfizer.com/news/press-release/press-release-detail/pfizer-completes-acquisition-biohaven-pharmaceuticals | https://www.sec.gov/Archives/edgar/data/1689813/000168981322000049/bhvn-20220509.htm | https://www.biohaven.com/investors/news-events/press-releases/biohaven-ltd-starts-trading-on-nyse-following-completion-of-spin-off-from-biohaven-pharmaceutical-holding-company-ltd-and-acquisition-by-pfizer/,"Official Pfizer press releases state that Pfizer agreed to acquire Biohaven and later completed the acquisition in October 2022. Biohaven's SEC filing also describes the transaction as a merger in which Biohaven became a wholly owned subsidiary of Pfizer, supporting that the overall relationship is an acquisition."
